pageid,title,wikidata,label
2951328,Johnny Briceño,Q6266369,Johnny Briceño
2953180,Dolores Balderamos-García,Q5289506,Dolores Balderamos-García
16952762,Francis Fonseca,Q5480967,Francis Fonseca
36494321,Rodwell Ferguson,Q7357499,Rodwell Ferguson
37586869,Michel Chebat,Q16198058,Michel Chebat
44805873,Michelle Arana,Q18684189,Michelle Arana
54284280,Julius Espat,Q24953658,Julius Espat
65542043,Kareem Musa,Q58896061,Kareem Musa
65829007,Cordel Hyde,Q58896069,Cordel Hyde
66321575,Valerie Woods,Q97258252,Valerie Woods
66340582,Carolyn Trench-Sandiford,Q104770990,Саrоlуn Тrеnсh-Ѕаndіfоrd
67478582,Froyla Tzalam,Q106601151,Froyla Tzalam
